City / Town,Population,long,latt
Perth,"1,874,578",115.86050,-31.95050
Bunbury,"71,090",115.63960,-33.32560
Geraldton,"31,982",114.61440,-28.77970
Kalgoorlie-Boulder,"29,875",121.46600,-30.74900
Albany,"29,373",117.88370,-35.02690
Busselton,"25,329",115.34550,-33.65320
Karratha,"15,828",116.84580,-20.73530
Broome,"13,984",122.23040,-17.96440
Port Hedland,"13,828",118.48640,-20.98180
Esperance,"10,421",121.99280,-33.48660
Yanchep,"8,859",115.63660,-31.54710
Collie,"7,192",116.18320,-33.31540
Northam,"6,548",116.70250,-31.64200
Margaret River,"6,392",115.18890,-34.16230
Dunsborough,"6,039",115.10110,-33.61740
Newman,"4,567",119.73680,-23.35720
Carnarvon,"4,426",113.66220,-24.88770
Kununurra,"4,341",128.76550,-15.60490
Narrogin,"4,274",117.16770,-32.93770
Manjimup,"4,213",116.23050,-34.50920
Pinjarra,"3,896",115.87890,-32.62700
Katanning,"3,702",117.69040,-33.62780
Derby,"3,325",125.21480,-16.84190
Tom Price,"2,956",117.79500,-22.69610
Port Denison-Dongara,"2,782",114.92200,-29.23390
Harvey,"2,750",115.90570,-33.08230
Merredin,"2,636",118.39290,-31.58530
Denmark,"2,558",117.07940,-34.88500
York,"2,548",116.76820,-31.89350
Donnybrook,"2,520",115.82800,-33.57880
Exmouth,"2,486",114.12370,-21.93130
Waroona,"2,397",115.89950,-32.87580
Two Rocks,"2,269",115.58870,-31.49450
Drummond Cove,"2,052",114.61560,-28.67270
Capel,"2,020",115.61550,-33.52580
Mount Barker,"1,905",138.86350,-35.08090
Bullsbrook,"1,887",115.99770,-31.65540
Kambalda West,"1,789",121.66250,-31.20160
Little Grove,"1,703",117.87010,-35.06820
Moora,"1,577",116.13590,-30.57470
Wickham,"1,572",117.14730,-20.67320
Cowaramup,"1,546",115.10140,-33.85220
Halls Creek,"1,546",127.67010,-18.22290
Mundijong,"1,484",115.98460,-32.29960
Bridgetown,"1,448",116.13810,-33.95830
Jurien Bay,"1,425",115.11780,-30.29380
Paraburdoo,"1,359",117.65670,-23.20420
Wagin,"1,358",117.34620,-33.31090
Kalbarri,"1,349",114.16460,-27.71040
Serpentine,"1,265",115.97680,-32.36170
Binningup,"1,227",115.72060,-33.13580
Kojonup,"1,165",117.15900,-33.82840
Boddington-Ranford,"1,147",116.49490,-32.79280
Fitzroy Crossing,"1,141",125.56040,-18.19370
Augusta,"1,109",115.15970,-34.31600
Dampier,"1,104",116.71080,-20.66210
Mandurah,"80,813",115.74240,-32.53610
Wyndham,780,128.22010,-15.58470
Mount Margaret,100,122.1846605,-28.79506601
Gnardumunn,7,122.663318,-16.79625899
Alligator Hole,33,128.8784082,-16.02969449
Balginjirr,21,123.7870825,-17.90475987
Buniol,0,122.9953804,-16.60662111
Ardyaloon,365,123.0608112,-16.44573962
Barrel Well,27,114.603357,-27.964643
Baulu Wah,8,128.0128588,-17.22006812
Bawoorrooga,11,126.1179026,-18.75651897
Bayulu,322,125.5976212,-18.30083487
Beagle Bay,348,122.664962,-16.98415912
Bells Point,2,122.6942417,-16.77865174
Bell Springs,22,128.7913056,-15.88509449
Bidijul,15,125.1263361,-18.60992587
Bidyadanga,617,121.776685,-18.68480162
Bilgungurr,138,122.2219472,-17.94274549
Red Creek,13,128.9121742,-15.86487712
Billard,72,122.6732579,-16.97203211
Bindi Bindi,120,115.1201989,-21.64345187
Bindurrk,8,122.5421547,-16.95724429
Biridu,30,125.6227086,-17.88782574
Birndirri,4,127.337305,-18.5315
Bobieding,16,122.6346651,-16.97479925
Bondini,75,120.2664864,-26.60059288
Brubrunganjal,19,121.640073,-18.86693725
Budgarjook,20,122.5210176,-17.01770349
Bulgin,7,122.9994764,-16.39747337
Burawa,28,125.5704959,-18.17012728
Burringurrah,143,116.932686,-24.651178
Burrguk,5,122.5889215,-16.97647109
Buttah Windee,30,118.447698,-26.606858
Carnot Springs,2,122.3176566,-17.17236499
Weymul,6,116.804939,-21.012861
Chile Creek,4,122.8736127,-16.53232912
Ngunulum,30,128.9520725,-15.94670687
Cockatoo,5,122.7014397,-16.89729912
Cosmo Newberry,58,122.8961717,-27.99537575
Cullacabardee,52,115.911108,-31.82155201
Coonana,5,123.2200985,-31.060278
Darlngunaya,10,125.5997138,-18.17588813
Darlu Darlu,5,128.8592599,-16.99877724
Dillon Springs,6,128.3508139,-15.92508337
Djarindjin,202,122.8955209,-16.51356187
Djaradjung,6,122.9671936,-16.56112611
Djugerari,58,125.5103957,-18.98870624
Djulburr,2,122.8103305,-16.561059
Dodnun,43,126.212043,-16.43923524
Joy Springs,60,125.6920329,-18.33239437
Gulgagulganeng,16,128.7906417,-15.81413886
Fly Well,11,127.6054855,-18.29937512
Four Mile,24,128.9406769,-15.89733049
Frazier Downs,5,121.7112982,-18.79815874
Gulberang,9,128.9316834,-15.89291387
Galeru Gorge,28,126.0749215,-18.60776975
Galamanda,20,125.4003215,-17.75818961
Ganinyi,25,126.7148084,-18.71102137
Goolgaradah,4,126.7501639,-18.72199724
Geboowama,9,128.7679556,-15.92621949
Gilaroong,40,125.6002666,-18.29464425
Gilly Sharpe,5,125.9728035,-18.74934672
Gnylmarung,15,122.5508661,-16.86039212
Gooda Binya,21,119.7294781,-21.14874406
Goolarrgon,1,122.9525217,-16.40939074
Goolarabooloo,27,122.2176627,-17.83709124
Goojarr Goonyool,7,122.6107975,-16.77551127
Goodarl,0,128.2239454,-15.60010253
Gubili,0,123.1453407,-16.88090382
Guda Guda,60,128.1922962,-15.53364749
Gudrum,0,122.9663829,-16.49521706
Gudumul,0,123.1343016,-16.70637124
Goose Hill,6,128.3282492,-15.57171824
Gulumonon,20,122.9041911,-16.46064124
Gumbarnun,15,123.0321516,-16.42279749
