COMMON_NAME,SECONDARY_NAME,OTHER_NAMES,CATEGORY,OCCUPANCY,CORPORATION,POPULATION_ESTIMATE,LOCAL_GOVERNMENT_AUTHORITY,LOCALITY,REGIONAL_DEVELOPMENT_COMMISSION,ABS_REMOTENESS_2011,Australian Indigenious Language nfd,Arnhem Land and Daly River Region Languages,Yolngu Matha,Cape York Peninsula Languages,Torres Strait Island Languages,Northern Desert Fringe Area Languages,Arandic,Western Desert Languages,Kimberley Area Languages,Other Australian Indigenous Languages,Proportion 1,Proportion 2,Proportion 3,Proportion 4,Proportion 5,Proportion 6,Proportion 7,Proportion 8,Proportion 9,Proportion 10
Mount Margaret,Aboriginal Movement For Outback Survival,"Amos, Mt Margaret, Mt Margaret Mission",Remote Aboriginal Community,Permanent,Aboriginal Movement for Outback Survival Aboriginal Corporation,100,Laverton,Laverton,Goldfields - Esperance,Very Remote,0,0,0,0,0,0,0,100,0,0,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%
Gnardumunn,Goombaragin,,Remote Aboriginal Community,Permanent,Goombaragin Aboriginal Corporation,7,Broome,Dampier Peninsula,Kimberley,Very Remote,0,0,0,0,0,0,0,0,7,0,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%
Alligator Hole,,,Remote Aboriginal Community,Permanent,Alligator Hole Aboriginal Corporation,33,Wyndham-East Kimberley,Lake Argyle,Kimberley,Very Remote,0,0,0,0,0,0,0,0,33,0,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%
Balginjirr,Lower Liveringa,,Remote Aboriginal Community,Permanent,Balginjirr Aboriginal Corporation,21,Derby-West Kimberley,Camballin,Kimberley,Very Remote,0,0,0,0,0,0,0,0,0,21,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%
Buniol,,Baniol,Remote Aboriginal Community,Seasonal,None,0,Broome,Dampier Peninsula,Kimberley,Very Remote,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Ardyaloon,One Arm Point,Bardi,Remote Aboriginal Community,Permanent,ARDYALOON INC,365,Broome,Dampier Peninsula,Kimberley,Very Remote,18,0,4,0,0,0,0,0,153,14,5%,0%,1%,0%,0%,0%,0%,0%,42%,4%
Barrel Well,Ajana,Barrel Wells,Remote Aboriginal Community,Permanent,Barrel Well Community Nanda Aboriginal  Corporation,27,Northampton,Ajana,Mid West,Remote,0,0,0,0,0,0,0,27,0,0,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%
Baulu Wah,Violet Valley,Baula Wah,Remote Aboriginal Community,Permanent,Baulu-Wah Aboriginal Corp,8,Halls Creek,Ord River,Kimberley,Very Remote,0,0,0,0,0,8,0,0,0,0,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%
Bawoorrooga,,"Bawooorroga, Bawooorrooga",Remote Aboriginal Community,Permanent,Bawoorrooga Community Inc.,11,Halls Creek,Mueller Ranges,Kimberley,Very Remote,0,0,0,0,0,11,0,0,0,0,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%
Bayulu,Go Go Station,,Remote Aboriginal Community,Permanent,Bayulu Community Inc,322,Derby-West Kimberley,St George Ranges,Kimberley,Very Remote,36,0,0,0,0,7,0,0,0,238,11%,0%,0%,0%,0%,2%,0%,0%,0%,74%
Beagle Bay,,Beagle Bay Mission,Remote Aboriginal Community,Permanent,None,348,Broome,Dampier Peninsula,Kimberley,Very Remote,16,0,0,0,0,0,0,0,0,0,5%,0%,0%,0%,0%,0%,0%,0%,0%,0%
